# index    column     row     hvCap
0         39         39         1050.00 
1         39         38         1050.00 
2         39         37         1050.00 
3         39         36         1050.00 
4         39         35         1050.00 
5         39         34         1050.00 
6         39         33         1050.00 
7         39         32         1050.00 
8         39         31         1050.00 
9         39         30         1050.00 
10        39         29         1050.00 
11        39         28         1050.00 
12        39         27         1050.00 
13        39         26         1050.00 
14        39         25         1050.00 
15        39         24         1050.00 
16        39         23         1050.00 
17        39         22         1050.00 
18        39         21         1050.00 
19        39         20         1050.00 
20        39         19         1050.00 
21        39         18         1050.00 
22        39         17         1050.00 
23        39         16         1050.00 
24        39         15         1050.00 
25        39         14         1050.00 
26        39         13         1050.00 
27        39         12         1050.00 
28        39         11         1050.00 
29        39         10         1050.00 
30        39         9          1050.00 
31        39         8          1050.00 
32        39         7          1050.00 
33        39         6          1050.00 
34        39         5          1050.00 
35        39         4          1050.00 
36        39         3          1050.00 
37        39         2          1050.00 
38        39         1          1050.00 
39        39         0          1050.00 
40        38         39         1050.00 
41        38         38         1050.00 
42        38         37         1050.00 
43        38         36         1050.00 
44        38         35         1050.00 
45        38         34         1050.00 
46        38         33         1050.00 
47        38         32         1050.00 
48        38         31         1050.00 
49        38         30         1050.00 
50        38         29         1050.00 
51        38         28         1050.00 
52        38         27         1050.00 
53        38         26         1050.00 
54        38         25         1050.00 
55        38         24         1050.00 
56        38         23         1050.00 
57        38         22         1050.00 
58        38         21         1050.00 
59        38         20         1050.00 
60        38         19         1050.00 
61        38         18         1050.00 
62        38         17         1050.00 
63        38         16         1050.00 
64        38         15         1050.00 
65        38         14         1050.00 
66        38         13         1050.00 
67        38         12         1050.00 
68        38         11         1050.00 
69        38         10         1050.00 
70        38         9          1050.00 
71        38         8          1050.00 
72        38         7          1050.00 
73        38         6          1050.00 
74        38         5          1050.00 
75        38         4          1050.00 
76        38         3          1050.00 
77        38         2          1050.00 
78        38         1          1050.00 
79        38         0          1050.00 
80        37         39         1050.00 
81        37         38         1050.00 
82        37         37         1050.00 
83        37         36         1050.00 
84        37         35         1050.00 
85        37         34         1050.00 
86        37         33         1050.00 
87        37         32         1050.00 
88        37         31         1050.00 
89        37         30         1050.00 
90        37         29         1050.00 
91        37         28         1050.00 
92        37         27         1050.00 
93        37         26         1050.00 
94        37         25         1050.00 
95        37         24         1050.00 
96        37         23         1050.00 
97        37         22         1050.00 
98        37         21         1050.00 
99        37         20         1050.00 
100       37         19         1050.00 
101       37         18         1050.00 
102       37         17         1050.00 
103       37         16         1050.00 
104       37         15         1050.00 
105       37         14         1050.00 
106       37         13         1050.00 
107       37         12         1050.00 
108       37         11         1050.00 
109       37         10         1050.00 
110       37         9          1050.00 
111       37         8          1050.00 
112       37         7          1050.00 
113       37         6          1050.00 
114       37         5          1050.00 
115       37         4          1050.00 
116       37         3          1050.00 
117       37         2          1050.00 
118       37         1          1050.00 
119       37         0          1050.00 
120       36         39         1050.00 
121       36         38         1050.00 
122       36         37         1050.00 
123       36         36         1050.00 
124       36         35         1050.00 
125       36         34         1050.00 
126       36         33         1050.00 
127       36         32         1050.00 
128       36         31         1050.00 
129       36         30         1050.00 
130       36         29         1050.00 
131       36         28         1050.00 
132       36         27         1050.00 
133       36         26         1050.00 
134       36         25         1050.00 
135       36         24         1050.00 
136       36         23         1050.00 
137       36         22         1050.00 
138       36         21         1050.00 
139       36         20         1050.00 
140       36         19         1050.00 
141       36         18         1050.00 
142       36         17         1050.00 
143       36         16         1050.00 
144       36         15         1050.00 
145       36         14         1050.00 
146       36         13         1050.00 
147       36         12         1050.00 
148       36         11         1050.00 
149       36         10         1050.00 
150       36         9          1050.00 
151       36         8          1050.00 
152       36         7          1050.00 
153       36         6          1050.00 
154       36         5          1050.00 
155       36         4          1050.00 
156       36         3          1050.00 
157       36         2          1050.00 
158       36         1          1050.00 
159       36         0          1050.00 
160       35         39         1050.00 
161       35         38         1050.00 
162       35         37         1050.00 
163       35         36         1050.00 
164       35         35         1050.00 
165       35         34         1050.00 
166       35         33         1050.00 
167       35         32         1050.00 
168       35         31         1050.00 
169       35         30         1050.00 
170       35         29         1050.00 
171       35         28         1050.00 
172       35         27         1050.00 
173       35         26         1050.00 
174       35         25         1050.00 
175       35         24         1050.00 
176       35         23         1050.00 
177       35         22         1050.00 
178       35         21         1050.00 
179       35         20         1050.00 
180       35         19         1050.00 
181       35         18         1050.00 
182       35         17         1050.00 
183       35         16         1050.00 
184       35         15         1050.00 
185       35         14         1050.00 
186       35         13         1050.00 
187       35         12         1050.00 
188       35         11         1050.00 
189       35         10         1050.00 
190       35         9          1050.00 
191       35         8          1050.00 
192       35         7          1050.00 
193       35         6          1050.00 
194       35         5          1050.00 
195       35         4          1050.00 
196       35         3          1050.00 
197       35         2          1050.00 
198       35         1          1050.00 
199       35         0          1050.00 
200       34         39         1050.00 
201       34         38         1050.00 
202       34         37         1050.00 
203       34         36         1050.00 
204       34         35         1050.00 
205       34         34         1050.00 
206       34         33         1050.00 
207       34         32         1050.00 
208       34         31         1050.00 
209       34         30         1050.00 
210       34         29         1050.00 
211       34         28         1050.00 
212       34         27         1050.00 
213       34         26         1050.00 
214       34         25         1050.00 
215       34         24         1050.00 
216       34         23         1050.00 
217       34         22         1050.00 
218       34         21         1050.00 
