# index    column     row     aimADC
529       26         30         10.00   
530       26         29         10.00   
531       26         28         10.00   
532       26         27         10.00   
533       26         26         10.00   
534       26         25         10.00   
535       26         24         10.00   
536       26         23         10.00   
537       26         22         10.00   
538       26         21         10.00   
539       26         20         10.00   
540       26         19         10.00   
541       26         18         10.00   
542       26         17         10.00   
543       26         16         10.00   
544       26         15         10.00   
545       26         14         10.00   
546       26         13         10.00   
547       26         12         10.00   
548       26         11         10.00   
549       26         10         10.00   
550       26         9          10.00   
551       26         8          10.00   
552       26         7          10.00   
553       26         6          10.00   
554       26         5          10.00   
555       26         4          10.00   
556       26         3          10.00   
557       26         2          10.00   
558       26         1          10.00   
559       26         0          10.00   
560       25         39         10.00   
561       25         38         10.00   
562       25         37         10.00   
563       25         36         10.00   
564       25         35         10.00   
565       25         34         10.00   
566       25         33         10.00   
567       25         32         10.00   
568       25         31         10.00   
569       25         30         10.00   
570       25         29         10.00   
571       25         28         10.00   
572       25         27         10.00   
573       25         26         10.00   
574       25         25         10.00   
575       25         24         10.00   
576       25         23         10.00   
577       25         22         10.00   
578       25         21         10.00   
579       25         20         10.00   
580       25         19         10.00   
581       25         18         10.00   
582       25         17         10.00   
583       25         16         10.00   
584       25         15         10.00   
585       25         14         10.00   
586       25         13         10.00   
587       25         12         10.00   
588       25         11         10.00   
589       25         10         10.00   
590       25         9          10.00   
591       25         8          10.00   
592       25         7          10.00   
593       25         6          10.00   
594       25         5          10.00   
595       25         4          10.00   
596       25         3          10.00   
597       25         2          10.00   
598       25         1          10.00   
599       25         0          10.00   
600       24         39         10.00   
601       24         38         10.00   
602       24         37         10.00   
603       24         36         10.00   
604       24         35         10.00   
605       24         34         10.00   
606       24         33         10.00   
607       24         32         10.00   
608       24         31         10.00   
609       24         30         10.00   
610       24         29         10.00   
611       24         28         10.00   
612       24         27         10.00   
613       24         26         10.00   
614       24         25         10.00   
615       24         24         10.00   
616       24         23         10.00   
617       24         22         10.00   
618       24         21         10.00   
619       24         20         10.00   
620       24         19         10.00   
621       24         18         10.00   
622       24         17         10.00   
623       24         16         10.00   
624       24         15         10.00   
