column  row  current_HV_Setting  new_HV_Setting  Voltage_change
04      08      988.087         1025.760         + 37.673
04      09      972.116          996.456         + 24.340
04      10      990.900         1039.305         + 48.405
04      11      970.756          992.367         + 21.611
04      12      982.056         1031.643         + 49.587
04      13      992.217         1029.892         + 37.675
04      14      971.621         1002.287         + 30.666
04      15      981.963         1003.674         + 21.711
04      16     1014.318         1050.000         + 35.682
04      17     1010.718         1042.217         + 31.499
04      18      980.946         1023.781         + 42.835
04      19      983.526         1006.369         + 22.843
04      20      982.855         1034.355         + 51.500
04      21     1009.964         1020.643         + 10.679
04      22      977.952          999.619         + 21.667
04      23      978.671          998.024         + 19.353
04      24      993.772         1033.327         + 39.555
04      25      951.655          988.490         + 36.835
04      26     1034.306         1050.000         + 15.694
04      27      969.401          987.192         + 17.791
04      28      987.919         1022.903         + 34.984
04      29      998.141         1050.000         + 51.859
04      30     1004.512         1050.000         + 45.488
04      31      993.212         1023.660         + 30.448
04      32      995.604         1050.000         + 54.396
04      33     1005.558         1037.212         + 31.654
04      34      994.454         1028.452         + 33.998
04      35      995.035         1032.192         + 37.157
04      36      983.445         1002.512         + 19.067
04      37      995.289         1043.756         + 48.467
04      38     1001.843         1040.939         + 39.096
04      39      961.896          993.406         + 31.510
05      00      981.857         1025.311         + 43.454
05      01      981.526         1017.719         + 36.193
05      02      970.457         1007.102         + 36.645
05      03      983.391         1009.358         + 25.967
05      04      990.354         1013.691         + 23.337
05      05      934.771          965.972         + 31.201
05      06      956.244          973.288         + 17.044
05      07      998.402         1027.982         + 29.580
05      08      923.206          951.508         + 28.302
05      09      971.260          992.439         + 21.179
05      10     1050.000         1050.000         +  0.000
05      11      992.553         1032.678         + 40.125
05      12      981.302         1006.441         + 25.139
05      13      990.268         1023.588         + 33.320
05      14      932.881          958.864         + 25.983
05      15      958.792          991.944         + 33.152
05      16      963.494          993.490         + 29.996
05      17     1019.032         1050.000         + 30.968
05      18      965.674          996.953         + 31.279
05      19      991.289         1026.138         + 34.849
05      20      981.315          990.511         +  9.196
05      21      964.992          989.214         + 24.222
05      22      980.959         1009.799         + 28.840
05      23      988.508         1029.712         + 41.204
05      24      981.249          985.195         +  3.946
05      25      987.332         1023.261         + 35.929
05      26      992.159         1034.432         + 42.273
05      27      995.935         1042.033         + 46.098
05      28      992.684         1032.566         + 39.882
05      29      990.785         1033.072         + 42.287
05      30     1006.135         1050.000         + 43.865
05      31      979.705         1011.259         + 31.554
05      32      985.755         1019.890         + 34.135
05      33     1006.135         1042.662         + 36.527
05      34      987.332         1021.303         + 33.971
05      35      988.861         1027.922         + 39.061
05      36      987.821         1015.826         + 28.005
05      37     1019.347         1050.000         + 30.653
05      38     1011.650         1044.638         + 32.988
05      39     1032.917         1050.000         + 17.083
06      00      960.387          994.511         + 34.124
06      01      986.568         1036.287         + 49.719
06      02      994.216         1039.675         + 45.459
06      03      971.597         1005.142         + 33.545
06      04      987.234         1022.042         + 34.808
06      05      975.400          979.171         +  3.771
06      06      973.592          998.717         + 25.125
06      07      984.485         1012.268         + 27.783
06      08      918.738          945.883         + 27.145
06      09      957.062          989.684         + 32.622
06      10      970.756          998.840         + 28.084
06      11      987.137         1015.631         + 28.494
06      12      976.681         1019.438         + 42.757
06      13      993.683         1032.548         + 38.865
06      14      929.129          947.530         + 18.401
06      15      998.402         1035.911         + 37.509
06      16      963.685         1001.974         + 38.289
06      17      987.332         1012.115         + 24.783
06      18      980.343         1031.556         + 51.213
06      19      989.243         1027.099         + 37.856
06      20      980.409          996.996         + 16.587
06      21      996.403         1027.950         + 31.547
06      22      985.975         1016.687         + 30.712
06      23     1028.366         1047.406         + 19.040
06      24      977.226         1000.118         + 22.892
06      25      986.901         1011.689         + 24.788
06      26     1010.049         1050.000         + 39.951
