# index    column     row     hvBot
0         39         39         950.00  
1         39         38         950.00  
2         39         37         950.00  
3         39         36         950.00  
4         39         35         950.00  
5         39         34         950.00  
6         39         33         950.00  
7         39         32         950.00  
8         39         31         950.00  
9         39         30         950.00  
10        39         29         950.00  
11        39         28         950.00  
12        39         27         950.00  
13        39         26         950.00  
14        39         25         950.00  
15        39         24         950.00  
16        39         23         950.00  
17        39         22         950.00  
18        39         21         950.00  
19        39         20         950.00  
20        39         19         950.00  
21        39         18         950.00  
22        39         17         950.00  
23        39         16         950.00  
24        39         15         950.00  
25        39         14         950.00  
26        39         13         950.00  
27        39         12         950.00  
28        39         11         950.00  
29        39         10         950.00  
30        39         9          950.00  
31        39         8          950.00  
32        39         7          950.00  
33        39         6          950.00  
34        39         5          950.00  
35        39         4          950.00  
36        39         3          950.00  
37        39         2          950.00  
38        39         1          950.00  
39        39         0          950.00  
40        38         39         950.00  
41        38         38         950.00  
42        38         37         950.00  
43        38         36         950.00  
44        38         35         950.00  
45        38         34         950.00  
46        38         33         950.00  
47        38         32         950.00  
48        38         31         950.00  
49        38         30         950.00  
50        38         29         950.00  
51        38         28         950.00  
52        38         27         950.00  
53        38         26         950.00  
54        38         25         950.00  
55        38         24         950.00  
56        38         23         950.00  
57        38         22         950.00  
58        38         21         950.00  
59        38         20         950.00  
60        38         19         950.00  
61        38         18         950.00  
62        38         17         950.00  
63        38         16         950.00  
64        38         15         950.00  
65        38         14         950.00  
66        38         13         950.00  
67        38         12         950.00  
68        38         11         950.00  
69        38         10         950.00  
70        38         9          950.00  
71        38         8          950.00  
72        38         7          950.00  
73        38         6          950.00  
74        38         5          950.00  
75        38         4          950.00  
76        38         3          950.00  
77        38         2          950.00  
78        38         1          950.00  
79        38         0          950.00  
80        37         39         950.00  
81        37         38         950.00  
82        37         37         950.00  
83        37         36         950.00  
84        37         35         950.00  
85        37         34         950.00  
86        37         33         950.00  
87        37         32         950.00  
88        37         31         950.00  
89        37         30         950.00  
90        37         29         950.00  
91        37         28         950.00  
92        37         27         950.00  
93        37         26         950.00  
94        37         25         950.00  
95        37         24         950.00  
96        37         23         950.00  
97        37         22         950.00  
98        37         21         950.00  
99        37         20         950.00  
100       37         19         950.00  
101       37         18         950.00  
102       37         17         950.00  
103       37         16         950.00  
104       37         15         950.00  
105       37         14         950.00  
106       37         13         950.00  
107       37         12         950.00  
108       37         11         950.00  
109       37         10         950.00  
110       37         9          950.00  
111       37         8          950.00  
112       37         7          950.00  
113       37         6          950.00  
114       37         5          950.00  
115       37         4          950.00  
116       37         3          950.00  
117       37         2          950.00  
118       37         1          950.00  
119       37         0          950.00  
120       36         39         950.00  
121       36         38         950.00  
122       36         37         950.00  
123       36         36         950.00  
124       36         35         950.00  
125       36         34         950.00  
126       36         33         950.00  
127       36         32         950.00  
128       36         31         950.00  
129       36         30         950.00  
130       36         29         950.00  
131       36         28         950.00  
132       36         27         950.00  
133       36         26         950.00  
134       36         25         950.00  
135       36         24         950.00  
136       36         23         950.00  
137       36         22         950.00  
138       36         21         950.00  
139       36         20         950.00  
140       36         19         950.00  
141       36         18         950.00  
142       36         17         950.00  
143       36         16         950.00  
144       36         15         950.00  
145       36         14         950.00  
146       36         13         950.00  
147       36         12         950.00  
148       36         11         950.00  
149       36         10         950.00  
150       36         9          950.00  
151       36         8          950.00  
152       36         7          950.00  
153       36         6          950.00  
154       36         5          950.00  
155       36         4          950.00  
156       36         3          950.00  
157       36         2          950.00  
158       36         1          950.00  
159       36         0          950.00  
160       35         39         950.00  
161       35         38         950.00  
162       35         37         950.00  
163       35         36         950.00  
164       35         35         950.00  
165       35         34         950.00  
166       35         33         950.00  
167       35         32         950.00  
168       35         31         950.00  
169       35         30         950.00  
170       35         29         950.00  
171       35         28         950.00  
172       35         27         950.00  
173       35         26         950.00  
174       35         25         950.00  
175       35         24         950.00  
176       35         23         950.00  
177       35         22         950.00  
178       35         21         950.00  
179       35         20         950.00  
180       35         19         950.00  
181       35         18         950.00  
182       35         17         950.00  
183       35         16         950.00  
184       35         15         950.00  
185       35         14         950.00  
186       35         13         950.00  
187       35         12         950.00  
188       35         11         950.00  
189       35         10         950.00  
190       35         9          950.00  
191       35         8          950.00  
192       35         7          950.00  
193       35         6          950.00  
194       35         5          950.00  
195       35         4          950.00  
196       35         3          950.00  
197       35         2          950.00  
198       35         1          950.00  
199       35         0          950.00  
200       34         39         950.00  
201       34         38         950.00  
202       34         37         950.00  
203       34         36         950.00  
204       34         35         950.00  
205       34         34         950.00  
206       34         33         950.00  
207       34         32         950.00  
208       34         31         950.00  
209       34         30         950.00  
210       34         29         950.00  
211       34         28         950.00  
212       34         27         950.00  
213       34         26         950.00  
214       34         25         950.00  
215       34         24         950.00  
216       34         23         950.00  
217       34         22         950.00  
218       34         21         950.00  
219       34         20         950.00  
220       34         19         950.00  
221       34         18         950.00  
222       34         17         950.00  
223       34         16         950.00  
224       34         15         950.00  
225       34         14         950.00  
226       34         13         950.00  
227       34         12         950.00  
228       34         11         950.00  
229       34         10         950.00  
230       34         9          950.00  
231       34         8          950.00  
232       34         7          950.00  
233       34         6          950.00  
234       34         5          950.00  
235       34         4          950.00  
236       34         3          950.00  
237       34         2          950.00  
238       34         1          950.00  
239       34         0          950.00  
240       33         39         950.00  
241       33         38         950.00  
242       33         37         950.00  
243       33         36         950.00  
244       33         35         950.00  
245       33         34         950.00  
246       33         33         950.00  
247       33         32         950.00  
248       33         31         950.00  
249       33         30         950.00  
250       33         29         950.00  
251       33         28         950.00  
252       33         27         950.00  
253       33         26         950.00  
254       33         25         950.00  
255       33         24         950.00  
256       33         23         950.00  
257       33         22         950.00  
258       33         21         950.00  
259       33         20         950.00  
260       33         19         950.00  
261       33         18         950.00  
262       33         17         950.00  
263       33         16         950.00  
264       33         15         950.00  
265       33         14         950.00  
266       33         13         950.00  
267       33         12         950.00  
268       33         11         950.00  
269       33         10         950.00  
270       33         9          950.00  
271       33         8          950.00  
272       33         7          950.00  
273       33         6          950.00  
274       33         5          950.00  
275       33         4          950.00  
276       33         3          950.00  
277       33         2          950.00  
278       33         1          950.00  
279       33         0          950.00  
280       32         39         950.00  
281       32         38         950.00  
282       32         37         950.00  
283       32         36         950.00  
284       32         35         950.00  
285       32         34         950.00  
286       32         33         950.00  
287       32         32         950.00  
288       32         31         950.00  
289       32         30         950.00  
290       32         29         950.00  
291       32         28         950.00  
292       32         27         950.00  
293       32         26         950.00  
294       32         25         950.00  
295       32         24         950.00  
296       32         23         950.00  
297       32         22         950.00  
298       32         21         950.00  
299       32         20         950.00  
300       32         19         950.00  
301       32         18         950.00  
302       32         17         950.00  
303       32         16         950.00  
304       32         15         950.00  
305       32         14         950.00  
306       32         13         950.00  
307       32         12         950.00  
308       32         11         950.00  
309       32         10         950.00  
310       32         9          950.00  
311       32         8          950.00  
312       32         7          950.00  
313       32         6          950.00  
314       32         5          950.00  
315       32         4          950.00  
316       32         3          950.00  
317       32         2          950.00  
318       32         1          950.00  
319       32         0          950.00  
320       31         39         950.00  
321       31         38         950.00  
322       31         37         950.00  
323       31         36         950.00  
324       31         35         950.00  
325       31         34         950.00  
326       31         33         950.00  
327       31         32         950.00  
328       31         31         950.00  
329       31         30         950.00  
330       31         29         950.00  
331       31         28         950.00  
332       31         27         950.00  
333       31         26         950.00  
334       31         25         950.00  
335       31         24         950.00  
336       31         23         950.00  
337       31         22         950.00  
338       31         21         950.00  
339       31         20         950.00  
340       31         19         950.00  
341       31         18         950.00  
342       31         17         950.00  
343       31         16         950.00  
344       31         15         950.00  
345       31         14         950.00  
346       31         13         950.00  
347       31         12         950.00  
348       31         11         950.00  
349       31         10         950.00  
350       31         9          950.00  
351       31         8          950.00  
352       31         7          950.00  
353       31         6          950.00  
354       31         5          950.00  
355       31         4          950.00  
356       31         3          950.00  
357       31         2          950.00  
358       31         1          950.00  
359       31         0          950.00  
360       30         39         950.00  
361       30         38         950.00  
362       30         37         950.00  
363       30         36         950.00  
364       30         35         950.00  
365       30         34         950.00  
366       30         33         950.00  
367       30         32         950.00  
368       30         31         950.00  
369       30         30         950.00  
370       30         29         950.00  
371       30         28         950.00  
372       30         27         950.00  
373       30         26         950.00  
374       30         25         950.00  
375       30         24         950.00  
376       30         23         950.00  
377       30         22         950.00  
378       30         21         950.00  
379       30         20         950.00  
380       30         19         950.00  
381       30         18         950.00  
382       30         17         950.00  
383       30         16         950.00  
384       30         15         950.00  
385       30         14         950.00  
386       30         13         950.00  
387       30         12         950.00  
388       30         11         950.00  
389       30         10         950.00  
390       30         9          950.00  
391       30         8          950.00  
392       30         7          950.00  
393       30         6          950.00  
394       30         5          950.00  
395       30         4          950.00  
396       30         3          950.00  
397       30         2          950.00  
398       30         1          950.00  
399       30         0          950.00  
400       29         39         950.00  
401       29         38         950.00  
402       29         37         950.00  
403       29         36         950.00  
404       29         35         950.00  
405       29         34         950.00  
406       29         33         950.00  
407       29         32         950.00  
408       29         31         950.00  
409       29         30         950.00  
410       29         29         950.00  
411       29         28         950.00  
412       29         27         950.00  
413       29         26         950.00  
414       29         25         950.00  
415       29         24         950.00  
416       29         23         950.00  
417       29         22         950.00  
418       29         21         950.00  
419       29         20         950.00  
420       29         19         950.00  
421       29         18         950.00  
422       29         17         950.00  
423       29         16         950.00  
424       29         15         950.00  
425       29         14         950.00  
426       29         13         950.00  
427       29         12         950.00  
428       29         11         950.00  
429       29         10         950.00  
430       29         9          950.00  
431       29         8          950.00  
432       29         7          950.00  
433       29         6          950.00  
434       29         5          950.00  
435       29         4          950.00  
436       29         3          950.00  
437       29         2          950.00  
438       29         1          950.00  
439       29         0          950.00  
440       28         39         950.00  
441       28         38         950.00  
442       28         37         950.00  
443       28         36         950.00  
444       28         35         950.00  
445       28         34         950.00  
446       28         33         950.00  
447       28         32         950.00  
448       28         31         950.00  
449       28         30         950.00  
450       28         29         950.00  
451       28         28         950.00  
