# index    column     row     hvCap
362       30         37         915.00 
363       30         36         915.00 
364       30         35         915.00 
365       30         34         915.00 
366       30         33         915.00 
367       30         32         915.00 
368       30         31         915.00 
369       30         30         915.00 
370       30         29         915.00 
371       30         28         915.00 
372       30         27         915.00 
373       30         26         915.00 
374       30         25         915.00 
375       30         24         915.00 
376       30         23         915.00 
377       30         22         915.00 
378       30         21         915.00 
379       30         20         915.00 
380       30         19         915.00 
381       30         18         915.00 
382       30         17         915.00 
383       30         16         915.00 
384       30         15         915.00 
385       30         14         915.00 
386       30         13         915.00 
387       30         12         915.00 
388       30         11         915.00 
389       30         10         915.00 
390       30         9          915.00 
391       30         8          915.00 
392       30         7          915.00 
393       30         6          915.00 
394       30         5          915.00 
395       30         4          915.00 
396       30         3          915.00 
397       30         2          915.00 
398       30         1          915.00 
399       30         0          915.00 
400       29         39         915.00 
401       29         38         915.00 
402       29         37         915.00 
403       29         36         915.00 
404       29         35         915.00 
405       29         34         915.00 
406       29         33         915.00 
407       29         32         915.00 
408       29         31         915.00 
409       29         30         915.00 
410       29         29         915.00 
411       29         28         915.00 
412       29         27         915.00 
413       29         26         915.00 
414       29         25         915.00 
415       29         24         915.00 
416       29         23         915.00 
417       29         22         915.00 
418       29         21         915.00 
419       29         20         915.00 
420       29         19         915.00 
421       29         18         915.00 
422       29         17         915.00 
423       29         16         915.00 
424       29         15         915.00 
425       29         14         915.00 
426       29         13         915.00 
427       29         12         915.00 
428       29         11         915.00 
429       29         10         915.00 
430       29         9          915.00 
431       29         8          915.00 
432       29         7          915.00 
433       29         6          915.00 
434       29         5          915.00 
435       29         4          915.00 
436       29         3          915.00 
437       29         2          915.00 
438       29         1          915.00 
439       29         0          915.00 
440       28         39         915.00 
441       28         38         915.00 
442       28         37         915.00 
443       28         36         915.00 
444       28         35         915.00 
445       28         34         915.00 
446       28         33         915.00 
447       28         32         915.00 
448       28         31         915.00 
449       28         30         915.00 
450       28         29         915.00 
451       28         28         915.00 
452       28         27         915.00 
453       28         26         915.00 
454       28         25         915.00 
455       28         24         915.00 
456       28         23         915.00 
457       28         22         915.00 
458       28         21         915.00 
459       28         20         915.00 
460       28         19         915.00 
461       28         18         915.00 
462       28         17         915.00 
463       28         16         915.00 
464       28         15         915.00 
465       28         14         915.00 
466       28         13         915.00 
467       28         12         915.00 
468       28         11         915.00 
469       28         10         915.00 
470       28         9          915.00 
471       28         8          915.00 
472       28         7          915.00 
473       28         6          915.00 
474       28         5          915.00 
475       28         4          915.00 
476       28         3          915.00 
477       28         2          915.00 
478       28         1          915.00 
479       28         0          915.00 
