// index column row  mean  error sigma   chi2/ndf width  status
  97   37   22 123.432    0.226   40.000   1206.814    93.200   FAILED
  98   37   21 123.312    0.229   40.000   1097.463    93.200   FAILED
  99   37   20 123.445    0.156   40.000   2699.221    93.200   FAILED
 100   37   19 123.411    0.341   40.000   491.420    93.200   FAILED
 101   37   18 123.423    0.374   40.000   384.038    93.200   FAILED
 102   37   17 122.987    0.351   40.000   432.067    93.200   FAILED
 103   37   16 123.833    0.269   40.000   564.390    93.200   FAILED
 104   37   15 123.402    0.279   40.000   784.928    93.200   FAILED
 105   37   14 123.921    0.483   40.000   157.453    93.200   FAILED
 106   37   13 123.594    0.836   40.000   61.283    93.200   FAILED
 107   37   12 123.478    0.207   40.000   1385.214    93.200   FAILED
 108   37   11 123.417    0.402   40.000   304.957    93.200   FAILED
 109   37   10 123.661    0.437   40.000   288.863    93.200   FAILED
 110   37    9 123.448    0.837   40.000   59.054    93.200   FAILED
 111   37    8 123.683    0.341   40.000   487.583    93.200   FAILED
 112   37    7 123.370    0.591   40.000   150.691    93.200   FAILED
 113   37    6 123.451    0.482   40.000   214.294    93.200   FAILED
 114   37    5 123.417    0.332   40.000   502.063    93.200   FAILED
 115   37    4   3.084   167.244   30.000   -0.000    69.900   FAILED
 116   37    3 123.078    0.061   40.000   20308.349    93.200   FAILED
 117   37    2 123.040    0.033   40.000   69458.358    93.200   FAILED
 118   37    1 122.942    0.125   40.000   4498.231    93.200   FAILED
 119   37    0 123.053    0.071   40.000   14969.960    93.200   FAILED
 120   36   39   3.084   167.244   30.000   -0.000    69.900   FAILED
 121   36   38 124.427    0.726   40.000   51.078    93.200   FAILED
 122   36   37 124.376    1.456   40.000    8.855    93.200   FAILED
 123   36   36   3.084   167.244   30.000   -0.000    69.900   FAILED
 124   36   35   3.084   167.244   30.000   -0.000    69.900   FAILED
 125   36   34 123.495    0.159   40.000   2532.116    93.200   FAILED
 126   36   33 123.680    0.211   40.000   1419.404    93.200   FAILED
 127   36   32 123.462    0.171   40.000   2233.797    93.200   FAILED
 128   36   31 123.553    0.149   40.000   3058.334    93.200   FAILED
 129   36   30 123.120    0.436   40.000   274.930    93.200   FAILED
 130   36   29 123.610    0.193   40.000   1701.718    93.200   FAILED
 131   36   28 123.436    0.091   40.000   9095.799    93.200   FAILED
 132   36   27 123.376    0.141   40.000   3233.876    93.200   FAILED
 133   36   26 123.399    0.177   40.000   2061.264    93.200   FAILED
 134   36   25 124.010    0.724   40.000   62.507    93.200   FAILED
 135   36   24 124.750    0.647   40.000   80.996    93.200   FAILED
 136   36   23 124.625    0.649   40.000   79.504    93.200   FAILED
 137   36   22 123.646    0.309   40.000   618.540    93.200   FAILED
 138   36   21 123.981    0.838   40.000   46.059    93.200   FAILED
 139   36   20   3.084   167.244   30.000   -0.000    69.900   FAILED
 140   36   19 123.654    0.836   40.000   49.327    93.200   FAILED
 141   36   18 124.003    1.025   40.000   27.495    93.200   FAILED
 142   36   17 123.528    0.649   40.000   104.585    93.200   FAILED
 143   36   16 124.062    0.418   40.000   209.281    93.200   FAILED
 144   36   15 123.667    0.333   40.000   505.438    93.200   FAILED
 145   36   14 122.723    0.724   40.000   76.770    93.200   FAILED
 146   36   13   3.084   167.244   30.000   -0.000    69.900   FAILED
 147   36   12 123.551    0.189   40.000   1795.721    93.200   FAILED
 148   36   11 123.462    0.229   40.000   1164.008    93.200   FAILED
 149   36   10 123.741    0.260   40.000   646.287    93.200   FAILED
 150   36    9 123.109    0.418   40.000   283.581    93.200   FAILED
 151   36    8 123.585    0.592   40.000   131.836    93.200   FAILED
 152   36    7 123.699    0.332   40.000   544.805    93.200   FAILED
 153   36    6 123.766    0.252   40.000   702.374    93.200   FAILED
 154   36    5 123.386    0.374   40.000   399.805    93.200   FAILED
 155   36    4 123.032    0.034   40.000   65772.130    93.200   FAILED
 156   36    3 123.014    0.031   40.000   80712.690    93.200   FAILED
 157   36    2 123.067    0.095   40.000   8261.951    93.200   FAILED
 158   36    1 122.998    0.044   40.000   39016.922    93.200   FAILED
 159   36    0 122.984    0.034   40.000   64737.600    93.200   FAILED
 160   35   39 124.433    0.419   40.000   235.233    93.200   FAILED
 161   35   38 123.806    1.029   40.000   25.502    93.200   FAILED
 162   35   37   3.084   167.244   30.000   -0.000    69.900   FAILED
 163   35   36 123.035    1.028   40.000   24.511    93.200   FAILED
 164   35   35   3.084   167.244   30.000   -0.000    69.900   FAILED
 165   35   34 123.919    1.027   40.000   22.716    93.200   FAILED
 166   35   33 123.950    0.647   40.000   81.726    93.200   FAILED
 167   35   32   3.084   167.244   30.000   -0.000    69.900   FAILED
 168   35   31 122.107    1.452   40.000    9.367    93.200   FAILED
 169   35   30 124.009    0.375   40.000   274.577    93.200   FAILED
 170   35   29 123.722    0.419   40.000   210.552    93.200   FAILED
 171   35   28 123.847    0.302   40.000   470.252    93.200   FAILED
 172   35   27 123.373    0.459   40.000   224.523    93.200   FAILED
 173   35   26 123.388    0.839   40.000   57.956    93.200   FAILED
 174   35   25 124.413    0.459   40.000   184.492    93.200   FAILED
 175   35   24 124.265    0.837   40.000   33.605    93.200   FAILED
 176   35   23 124.357    0.592   40.000   107.025    93.200   FAILED
 177   35   22 123.812    0.592   40.000   90.990    93.200   FAILED
 178   35   21 123.879    1.028   40.000   24.704    93.200   FAILED
 179   35   20 125.016    1.450   40.000    8.581    93.200   FAILED
 180   35   19   3.084   167.244   30.000   -0.000    69.900   FAILED
 181   35   18   3.084   167.244   30.000   -0.000    69.900   FAILED
 182   35   17 123.883    0.483   40.000   155.702    93.200   FAILED
 183   35   16   3.084   167.244   30.000   -0.000    69.900   FAILED
 184   35   15 123.394    0.418   40.000   274.487    93.200   FAILED
 185   35   14 123.472    0.252   40.000   1031.865    93.200   FAILED
 186   35   13 124.646    0.836   40.000   49.103    93.200   FAILED
 187   35   12 122.526    1.023   40.000   30.422    93.200   FAILED
 188   35   11   3.084   167.244   30.000   -0.000    69.900   FAILED
 189   35   10 123.981    1.023   40.000   22.625    93.200   FAILED
 190   35    9   3.084   167.244   30.000   -0.000    69.900   FAILED
