#row 1 Col 23 -> 37
24 8   96 32  100 36
25 8  100 32  104 36
26 8  104 32  108 36
27 8  108 32  112 36
28 8  112 32  116 36
29 8  116 32  120 36
30 8  120 32  124 36
31 8  124 32  128 36
32 8  128 32  132 36
33 8  132 32  136 36
34 8  136 32  140 36
35 8  140 32  144 36
36 8  144 32  148 36
37 8  148 32  152 36
38 8  152 32  156 36
39 8  156 32  160 36
40 8  160 32  164 36
41 8  164 32  168 36
42 8  168 32  172 36
43 8  172 32  176 36
44 8  176 32  180 36
45 8  180 32  184 36
46 8  184 32  188 36
47 8  188 32  192 36
48 8  192 32  196 36
49 8  196 32  200 36
50 8  200 32  204 36

#row 10 Col 8 -> 52
 7 9   28 36   32 40
 8 9   32 36   36 40
 9 9   36 36   40 40
10 9   40 36   44 40
11 9   44 36   48 40
12 9   48 36   52 40
13 9   52 36   56 40
14 9   56 36   60 40
15 9   60 36   64 40
16 9   64 36   68 40
17 9   68 36   72 40
18 9   72 36   76 40
19 9   76 36   80 40
20 9   80 36   84 40
21 9   84 36   88 40
22 9   88 36   92 40
23 9   92 36   96 40
24 9   96 36  100 40
25 9  100 36  104 40
26 9  104 36  108 40
27 9  108 36  112 40
28 9  112 36  116 40
29 9  116 36  120 40
30 9  120 36  124 40
31 9  124 36  128 40
32 9  128 36  132 40
33 9  132 36  136 40
34 9  136 36  140 40
35 9  140 36  144 40
36 9  144 36  148 40
37 9  148 36  152 40
38 9  152 36  156 40
39 9  156 36  160 40
40 9  160 36  164 40
41 9  164 36  168 40
42 9  168 36  172 40
43 9  172 36  176 40
44 9  176 36  180 40
45 9  180 36  184 40
46 9  184 36  188 40
47 9  188 36  192 40
48 9  192 36  196 40
49 9  196 36  200 40
50 9  200 36  204 40
51 9  204 36  208 40

#row 11 Col 7 -> 53
 6 10   24 40   28 44
 7 10   28 40   32 44
 8 10   32 40   36 44
 9 10   36 40   40 44
10 10   40 40   44 44
11 10   44 40   48 44
12 10   48 40   52 44
13 10   52 40   56 44
14 10   56 40   60 44
15 10   60 40   64 44
16 10   64 40   68 44
17 10   68 40   72 44
18 10   72 40   76 44
19 10   76 40   80 44
20 10   80 40   84 44
21 10   84 40   88 44
22 10   88 40   92 44
23 10   92 40   96 44
24 10   96 40  100 44
25 10  100 40  104 44
26 10  104 40  108 44
27 10  108 40  112 44
28 10  112 40  116 44
29 10  116 40  120 44
30 10  120 40  124 44
31 10  124 40  128 44
32 10  128 40  132 44
33 10  132 40  136 44
34 10  136 40  140 44
35 10  140 40  144 44
36 10  144 40  148 44
37 10  148 40  152 44
38 10  152 40  156 44
39 10  156 40  160 44
40 10  160 40  164 44
41 10  164 40  168 44
42 10  168 40  172 44
43 10  172 40  176 44
44 10  176 40  180 44
45 10  180 40  184 44
46 10  184 40  188 44
47 10  188 40  192 44
48 10  192 40  196 44
49 10  196 40  200 44
50 10  200 40  204 44
51 10  204 40  208 44
52 10  208 40  212 44

#row 12 Col 7 -> 53
 6 11   24 44   28 48
 7 11   28 44   32 48
 8 11   32 44   36 48
 9 11   36 44   40 48
10 11   40 44   44 48
11 11   44 44   48 48
12 11   48 44   52 48
13 11   52 44   56 48
14 11   56 44   60 48
15 11   60 44   64 48
16 11   64 44   68 48
17 11   68 44   72 48
18 11   72 44   76 48
19 11   76 44   80 48
20 11   80 44   84 48
21 11   84 44   88 48
22 11   88 44   92 48
23 11   92 44   96 48
24 11   96 44  100 48
25 11  100 44  104 48
26 11  104 44  108 48
27 11  108 44  112 48
28 11  112 44  116 48
29 11  116 44  120 48
30 11  120 44  124 48
31 11  124 44  128 48
32 11  128 44  132 48
33 11  132 44  136 48
34 11  136 44  140 48
35 11  140 44  144 48
36 11  144 44  148 48
37 11  148 44  152 48
38 11  152 44  156 48
39 11  156 44  160 48
40 11  160 44  164 48
41 11  164 44  168 48
42 11  168 44  172 48
43 11  172 44  176 48
44 11  176 44  180 48
45 11  180 44  184 48
46 11  184 44  188 48
47 11  188 44  192 48
48 11  192 44  196 48
49 11  196 44  200 48
50 11  200 44  204 48
51 11  204 44  208 48
52 11  208 44  212 48

#row 13 Col 6 -> 54
 5 12   20 48   24 52
 6 12   24 48   28 52
 7 12   28 48   32 52
 8 12   32 48   36 52
 9 12   36 48   40 52
10 12   40 48   44 52
11 12   44 48   48 52
12 12   48 48   52 52
13 12   52 48   56 52
14 12   56 48   60 52
15 12   60 48   64 52
16 12   64 48   68 52
17 12   68 48   72 52
18 12   72 48   76 52
19 12   76 48   80 52
20 12   80 48   84 52
21 12   84 48   88 52
22 12   88 48   92 52
23 12   92 48   96 52
24 12   96 48  100 52
25 12  100 48  104 52
26 12  104 48  108 52
27 12  108 48  112 52
28 12  112 48  116 52
29 12  116 48  120 52
30 12  120 48  124 52
31 12  124 48  128 52
32 12  128 48  132 52
33 12  132 48  136 52
34 12  136 48  140 52
35 12  140 48  144 52
36 12  144 48  148 52
37 12  148 48  152 52
38 12  152 48  156 52
39 12  156 48  160 52
40 12  160 48  164 52
41 12  164 48  168 52
42 12  168 48  172 52
43 12  172 48  176 52
44 12  176 48  180 52
45 12  180 48  184 52
46 12  184 48  188 52
47 12  188 48  192 52
48 12  192 48  196 52
49 12  196 48  200 52
50 12  200 48  204 52
51 12  204 48  208 52
52 12  208 48  212 52
53 12  212 48  216 52

#row 14 Col 5 -> 55
 4 13   16 52   20 56
 5 13   20 52   24 56
 6 13   24 52   28 56
 7 13   28 52   32 56
 8 13   32 52   36 56
 9 13   36 52   40 56
10 13   40 52   44 56
11 13   44 52   48 56
12 13   48 52   52 56
13 13   52 52   56 56
14 13   56 52   60 56
15 13   60 52   64 56
16 13   64 52   68 56
17 13   68 52   72 56
18 13   72 52   76 56
19 13   76 52   80 56
20 13   80 52   84 56
21 13   84 52   88 56
22 13   88 52   92 56
23 13   92 52   96 56
24 13   96 52  100 56
25 13  100 52  104 56
26 13  104 52  108 56
27 13  108 52  112 56
28 13  112 52  116 56
29 13  116 52  120 56
30 13  120 52  124 56
31 13  124 52  128 56
32 13  128 52  132 56
33 13  132 52  136 56
34 13  136 52  140 56
35 13  140 52  144 56
36 13  144 52  148 56
37 13  148 52  152 56
38 13  152 52  156 56
39 13  156 52  160 56
40 13  160 52  164 56
41 13  164 52  168 56
42 13  168 52  172 56
43 13  172 52  176 56
44 13  176 52  180 56
45 13  180 52  184 56
46 13  184 52  188 56
47 13  188 52  192 56
48 13  192 52  196 56
49 13  196 52  200 56
50 13  200 52  204 56
51 13  204 52  208 56
52 13  208 52  212 56
53 13  212 52  216 56
54 13  216 52  220 56

#row 15 Col 5 -> 55
 4 14   16 56   20 60
 5 14   20 56   24 60
 6 14   24 56   28 60
 7 14   28 56   32 60
 8 14   32 56   36 60
 9 14   36 56   40 60
10 14   40 56   44 60
11 14   44 56   48 60
12 14   48 56   52 60
13 14   52 56   56 60
14 14   56 56   60 60
15 14   60 56   64 60
16 14   64 56   68 60
17 14   68 56   72 60
18 14   72 56   76 60
19 14   76 56   80 60
20 14   80 56   84 60
21 14   84 56   88 60
22 14   88 56   92 60
23 14   92 56   96 60
24 14   96 56  100 60
25 14  100 56  104 60
26 14  104 56  108 60
27 14  108 56  112 60
28 14  112 56  116 60
29 14  116 56  120 60
30 14  120 56  124 60
31 14  124 56  128 60
32 14  128 56  132 60
33 14  132 56  136 60
34 14  136 56  140 60
35 14  140 56  144 60
36 14  144 56  148 60
37 14  148 56  152 60
38 14  152 56  156 60
39 14  156 56  160 60
40 14  160 56  164 60
41 14  164 56  168 60
42 14  168 56  172 60
43 14  172 56  176 60
44 14  176 56  180 60
45 14  180 56  184 60
46 14  184 56  188 60
47 14  188 56  192 60
48 14  192 56  196 60
49 14  196 56  200 60
50 14  200 56  204 60
51 14  204 56  208 60
52 14  208 56  212 60
53 14  212 56  216 60
54 14  216 56  220 60

#row 16 Col 4 -> 57
 3 15   12 60   16 64
 4 15   16 60   20 64
 5 15   20 60   24 64
 6 15   24 60   28 64
 7 15   28 60   32 64
 8 15   32 60   36 64
 9 15   36 60   40 64
10 15   40 60   44 64
11 15   44 60   48 64
12 15   48 60   52 64
13 15   52 60   56 64
14 15   56 60   60 64
15 15   60 60   64 64
16 15   64 60   68 64
17 15   68 60   72 64
18 15   72 60   76 64
19 15   76 60   80 64
20 15   80 60   84 64
21 15   84 60   88 64
22 15   88 60   92 64
23 15   92 60   96 64
24 15   96 60  100 64
25 15  100 60  104 64
26 15  104 60  108 64
27 15  108 60  112 64
28 15  112 60  116 64
29 15  116 60  120 64
30 15  120 60  124 64
31 15  124 60  128 64
32 15  128 60  132 64
33 15  132 60  136 64
34 15  136 60  140 64
35 15  140 60  144 64
36 15  144 60  148 64
37 15  148 60  152 64
38 15  152 60  156 64
39 15  156 60  160 64
40 15  160 60  164 64
41 15  164 60  168 64
42 15  168 60  172 64
43 15  172 60  176 64
44 15  176 60  180 64
45 15  180 60  184 64
46 15  184 60  188 64
47 15  188 60  192 64
48 15  192 60  196 64
49 15  196 60  200 64
50 15  200 60  204 64
51 15  204 60  208 64
52 15  208 60  212 64
53 15  212 60  216 64
54 15  216 60  220 64
55 15  220 60  224 64
56 15  224 60  228 64

#row 17 Col 4 -> 57
 3 16   12 64   16 68
 4 16   16 64   20 68
 5 16   20 64   24 68
 6 16   24 64   28 68
 7 16   28 64   32 68
 8 16   32 64   36 68
 9 16   36 64   40 68
10 16   40 64   44 68
11 16   44 64   48 68
12 16   48 64   52 68
13 16   52 64   56 68
14 16   56 64   60 68
15 16   60 64   64 68
16 16   64 64   68 68
17 16   68 64   72 68
18 16   72 64   76 68
19 16   76 64   80 68
20 16   80 64   84 68
21 16   84 64   88 68
22 16   88 64   92 68
23 16   92 64   96 68
24 16   96 64  100 68
25 16  100 64  104 68
26 16  104 64  108 68
27 16  108 64  112 68
28 16  112 64  116 68
29 16  116 64  120 68
30 16  120 64  124 68
31 16  124 64  128 68
32 16  128 64  132 68
33 16  132 64  136 68
34 16  136 64  140 68
35 16  140 64  144 68
36 16  144 64  148 68
37 16  148 64  152 68
38 16  152 64  156 68
39 16  156 64  160 68
40 16  160 64  164 68
41 16  164 64  168 68
42 16  168 64  172 68
43 16  172 64  176 68
44 16  176 64  180 68
